Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,257.85,3094.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,115,1380.00,USD,S3 Standard storage (5000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),web servers,Amazon EC2,8085.48,689.79,16362.96,USD,"Operating system (Linux), Quantity (20), Pricing strategy (Compute Savings Plans 1 Year Partial Upfront), Storage amount (8 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),application servers,Amazon EC2,0,13791.68,165500.16,USD,"Operating system (Linux), Quantity (70), Pricing strategy (On-Demand Instances), Storage amount (8 GB), Instance type (t4g.2xlarge)"
My Estimate,US East (N. Virginia),database,Amazon Aurora PostgreSQL-Compatible DB,40000,4215.85,90590.20,USD,"Storage amount (100 GB), Quantity (2), Instance type (db.r4.16xlarge), Pricing strategy (Reserved 1yr Partial Upfront)"
My Estimate,US East (N. Virginia),load balancers,Application Load Balancer,0,811.52,9738.24,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
